Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame
us-gaap,AllocatedShareBasedCompensationExpense,USD,5300000000.0,2024-01-01,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1
us-gaap,AllowanceForDoubtfulAccountsReceivable,USD,754000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,AllowanceForDoubtfulAccountsReceivable,USD,771000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,AllowanceForDoubtfulAccountsReceivable,USD,771000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,AllowanceForDoubtfulAccountsReceivable,USD,745000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,Assets,USD,365264000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,Assets,USD,402392000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,Assets,USD,402392000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,Assets,USD,407350000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,AssetsCurrent,USD,164795000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,AssetsCurrent,USD,171530000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,AssetsCurrent,USD,171530000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,AssetsCurrent,USD,165471000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,USD,15351000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023Q4I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,USD,13972000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,USD,41477000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023Q4I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,USD,42755000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,USD,14216000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023Q4I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,USD,14043000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,USD,11231000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023Q4I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,USD,8551000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,AvailableForSaleSecuritiesDebtSecurities,USD,82275000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023Q4I
us-gaap,AvailableForSaleSecuritiesDebtSecurities,USD,79321000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,Cash,USD,8561000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,Cash,USD,12509000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,Cash,USD,12509000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,Cash,USD,11829000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,21879000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,24048000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,24048000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,24493000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,CashCashEquivalentsAndShortTermInvestments,USD,113762000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,CashCashEquivalentsAndShortTermInvestments,USD,110916000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,CashCashEquivalentsAndShortTermInvestments,USD,110916000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,CashCashEquivalentsAndShortTermInvestments,USD,108090000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
